Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2/1/12,4.51,3.045,5.5,1.375,7.59,7.575,2.44,3.3925,4.833,4.902,5.85,4.4306,3.01388,5.5905,1.35891,7.5154,7.3755,2.49,3.3708,4.8805,4.8645,5.9664,487.6,6.294,1797.38,19.13,220.69,49.2738,3.7287,1126.35,12.8923,3.1835,7.6884,102.04,99.04,101.54,99.12,99.5,98.54,99.43,98.04,100.67,100.14,102.97,2484.55,58.49,1130.83,324.41,1067.46,678.1,218.39,557.67,6128.14,1634.53,881.66,13.77,3.415,12.2275,16.5175,20.3025,10.3275,9.3,11.7375,13.928,18.215,16.045,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/2/12,4.55,2.98,5.5,1.37,7.5755,7.555,2.47,3.415,4.859,4.873,5.845,4.5301,2.94654,5.6261,1.35648,7.4706,7.3493,2.5255,3.3963,4.9133,4.8315,5.9505,488.2,6.292,1790.13,19.0833,222.12,49.16,3.7177,1118.35,12.8013,3.1872,7.6469,101.84,99.07,101.51,99.18,99.57,98.56,99.46,98.12,100.65,100.17,103.05,2532.75,59.96,1141.77,324.9,1088.82,682.52,220.49,564.66,6171.08,1637.99,886.28,13.66,3.265,12.2275,16.6425,20.4125,10.635,9.25,11.4825,13.92,18.2575,16.185,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/3/12,4.62,2.89,5.56,1.37,7.56,7.525,2.47,3.4,4.881,4.885,5.875,4.608,2.94923,5.6322,1.36805,7.454,7.3168,2.5269,3.3797,4.9359,4.8583,5.9884,488.2,6.2915,1781.53,18.962,220.76,48.695,3.7078,1118.07,12.6596,3.1714,7.5218,102.25,99.03,101.58,99.11,99.49,98.53,99.42,98.04,100.65,100.11,102.95,2564.05,60.07,1144.59,327.38,1095.49,689.46,221.1,559.99,6283.5,1640.06,883.08,13.5,3.115,12.085,16.3925,19.9475,10.5425,9.185,11.4775,13.69,18.1775,16.0625,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/6/12,4.65,2.99,5.53,1.35,7.5713,7.54,2.56,3.405,4.881,4.888,5.9125,4.6386,2.97703,5.6107,1.37505,7.4964,7.3379,2.6243,3.3848,4.9498,4.863,6.0454,480.45,6.2988,1785.85,19.0085,222.91,49.055,3.7195,1120.8,12.6683,3.1792,7.5521,102.13,99.05,101.54,99.15,99.53,98.57,99.44,98.07,100.64,100.14,102.98,2550.6,59.8,1142.71,329.65,1109.14,694.51,218.21,560.95,6313.3,1652.28,875.25,13.61,3.0625,12.1,16.34,20.165,10.64,9.235,11.525,13.763,18.3675,16.2475,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/7/12,4.715,3.07,5.66,1.35,7.47,7.57,2.59,3.428,4.945,4.885,5.929,4.7209,3.17428,5.7282,1.37095,7.3417,7.3657,2.6617,3.4116,5.0146,4.8373,6.0595,480.45,6.2915,1782.5,18.7215,218.62,49.2125,3.715,1118.6,12.675,3.1361,7.5599,102.05,99.01,101.63,99.07,99.43,98.5,99.4,97.95,100.65,100.09,102.98,2553.91,59.63,1150.71,325.93,1095.17,688.93,217.58,563.24,6308.94,1640.9,874.23,13.52,3.015,12.0925,16.17,19.775,10.52,9.15,11.6325,13.7,18.2075,16.1975,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/8/12,4.71,3.13,5.64,1.36,7.4011,7.655,2.66,3.46,4.955,4.901,5.96,4.7196,3.14031,5.7443,1.37093,7.3165,7.454,2.7435,3.4511,5.0246,4.8562,6.0969,480.45,6.2855,1776.84,18.7075,219.97,49.15,3.7157,1115.73,12.7185,3.1563,7.5524,102.23,99.02,101.64,99.09,99.46,98.52,99.4,98,100.65,100.08,102.9,2559.48,60.92,1156.9,329.96,1100.04,695.35,217.24,569.48,6294.26,1641.76,878.76,13.5,2.965,11.8675,15.5375,19.2425,10.5325,9.08,11.3625,13.53,17.7225,16.1575,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/9/12,4.745,3.21,5.65,1.38,7.45,7.67,2.66,3.475,4.945,4.91,5.96,4.7393,3.23055,5.7594,1.38079,7.3724,7.4814,2.7474,3.4708,4.9981,4.8914,6.1089,476.57,6.2915,1772.55,18.8726,219.55,49.505,3.7046,1115.7,12.6708,3.1585,7.5847,102.56,98.99,101.67,99.04,99.41,98.49,99.38,97.97,100.64,100.06,102.9,2595.42,61.1,1161.03,328.49,1085.07,701.9,217.61,572.31,6287.55,1633.66,884.34,13.51,2.86,11.8475,15.215,19.1075,10.5225,8.935,11.0725,13.37,17.635,16.1475,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/10/12,4.71,3.14,5.65,1.38,7.58,7.62,2.61,3.455,4.98,4.931,5.97,4.7141,3.13732,5.7483,1.40011,7.5508,7.4088,2.749,3.4488,5.0196,4.9156,6.1241,476.57,6.295,1780,19.0974,223.04,49.41,3.725,1123.73,12.8021,3.1938,7.7493,102.02,99.04,101.63,99.11,99.46,98.54,99.41,98.05,100.63,100.06,102.88,2589.24,60.15,1154.9,323.11,1058.96,697.51,216.66,564.62,6241.51,1607.73,875.39,13.51,2.76,11.9075,15.5975,19.435,10.57,8.915,11.1925,13.618,17.7975,16.9,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/13/12,4.75,3.13,5.65,1.38,7.45,7.595,2.63,3.4675,4.955,4.929,5.93,4.7642,3.11914,5.8042,1.40559,7.3424,7.3812,2.7088,3.4644,5.0173,4.9108,6.0621,476.57,6.297,1778.5,19.0108,220.52,49.1963,3.7246,1121.88,12.6982,3.1686,7.6813,101.82,99.01,101.71,99.1,99.47,98.51,99.36,98.02,100.63,99.98,102.81,2591.5,60.26,1166.18,329.22,1069.35,698.86,214.05,568.7,6254.54,1619.64,880.05,13.05,2.7625,11.845,15.4525,19.2525,10.55,8.9675,11.1925,12.818,17.685,16.7725,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
2/14/12,4.705,3.14,5.74,1.37,7.515,7.52,2.63,3.4475,4.98,4.922,5.93,4.7165,3.14823,5.835,1.38228,7.4035,7.3143,2.7214,3.4403,5.0486,4.8993,6.0614,476.57,6.301,1785,19.088,222,49.3688,3.7414,1123.78,12.7605,3.1809,7.7247,101.79,99.02,101.66,99.09,99.47,98.51,99.36,98.02,100.6,100,102.75,2566.43,60.07,1164.71,328.8,1058.73,701.67,211.89,568.21,6186.86,1610.69,880.39,12.91,2.71,11.815,15.555,19.3175,10.5425,9.0075,11.18,12.97,17.7775,16.7175,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
